1;ITF Brann FG Melder 10.1;B5.056;-15337.500;62465.000
1;ITF Brann FG Melder 10.1;B5.067;-23695.000;51589.625
1;ITF Alarm Lydgiver 10.1;B5.5.09;-20100.000;60650.000
1;ITF Alarm Lydgiver 10.1;B5.5.10;-33500.000;60650.000
1;ITF Alarm Lydgiver 10.1;B5.5.11;-46900.000;60299.948
1;ITF Brann FG Melder 10.1;B5.057;-23490.000;61120.000
1;ITF Brann FG Melder 10.1;B5.063;-45295.000;60375.000
1;ITF Brann FG Melder 10.1;B5.064;-45295.000;51594.625
1;ITF Brann FG Melder 10.1; ;-17673.669;50753.651
1;ITF Brann FG Melder 10.1;B5.070;-46389.995;69598.500
1;ITF Brann FG Melder 10.1;B5.077;-30895.000;67370.000
1;ITF Brann FG Melder 10.1;B5.060;-34275.000;61120.000
1;ITF Brann FG Melder 10.1;B5.072;-38095.000;67709.401
1;ITF Brann FG Melder 10.1;A2.020;-31549.812;32218.464
1;ITF Brann FG Detektortillegg 10.1; ;-7851.358;31790.745
1;ITF Brann FG Melder 10.1;A2.027;-7726.358;32040.745
1;ITF Brann FG Detektortillegg 10.1; ;-18851.358;25790.745
1;ITF Brann FG Melder 10.1;A2.028;-7726.358;26040.745
1;ITF Brann FG Detektortillegg 10.1; ;-7267.828;20290.745
1;ITF Brann FG Melder 10.1;A2.029;-7142.828;20540.745
1;ITF Brann FG Detektortillegg 10.1; ;-7851.358;25790.745
1;ITF Brann FG Melder 10.1;A2.025;-18726.358;26040.745
1;ITF Brann FG Detektortillegg 10.1; ;-27949.538;22587.645
1;ITF Brann FG Melder 10.1;A2.021;-27824.538;22837.645
1;ITF Brann FG Detektortillegg 10.1; ;-31627.608;27301.075
1;ITF Brann FG Melder 10.1;A2.022;-24856.848;26040.745
1;ITF Brann FG Detektortillegg 10.1; ;-18847.145;31834.010
1;ITF Brann FG Melder 10.1;A2.024;-18722.145;32084.010
1;ITF Brann FG Detektortillegg 10.1; ;-24981.848;25790.745
1;ITF Brann FG Melder 10.1;A2.030;-7142.828;15038.350
1;ITF Brann FG Detektortillegg 10.1; ;-16877.058;17968.435
1;ITF Brann FG Melder 10.1;A2.035;-16752.058;18218.435
1;ITF Brann FG Detektortillegg 10.1; ;-11514.988;20285.665
1;ITF Brann FG Melder 10.1;A2.036;-16752.058;9218.435
1;ITF Brann FG Detektortillegg 10.1; ;-16877.058;468.435
1;ITF Brann FG Melder 10.1;A2.037.02;-16752.058;718.435
1;ITF Brann FG Detektortillegg 10.1; ;-16877.058;8968.435
1;ITF Brann FG Melder 10.1;A2.034;-11389.988;20535.665
1;ITF Brann FG Detektortillegg 10.1; ;-7267.828;3018.885
1;ITF Brann FG Melder 10.1;A2.031;-7142.828;3268.885
1;ITF Brann FG Detektortillegg 10.1; ;-7267.828;14788.350
1;ITF Brann FG Melder 10.1;A2.032;-11389.988;3268.885
1;ITF Brann FG Detektortillegg 10.1; ;-12473.030;14788.350
1;ITF Brann FG Melder 10.1;A2.033;-12348.030;15038.350
1;ITF Brann FG Detektortillegg 10.1; ;-11514.988;3018.885
1;ITF Brann FG Melder 10.1;B2.050;-110472.726;2945.000
1;Apparat ITF BCC1 11.2; ;-145592.366;37523.620
1;ITF Brann FG Melder 10.1;C2.031;-156622.480;17989.979
1;ITF Brann FG Melder 10.1;C2.030.3;-151917.480;11934.473
1;ITF Brann FG Melder 10.1;C2.007.1;-120168.000;29610.399
1;ITF Brann FG Melder 10.1;C2.012.1;-118117.314;20526.929
1;Apparat ITF BCC1 11.2; ;-115070.686;21658.620
1;Apparat ITF BCC1 11.2; ;-116197.366;39448.620
1;ITF Brann FG Melder 10.1;C2.030.2;-157677.480;11934.473
1;ITF Brann FG Melder 10.1;C2.028;-155400.000;3950.000
1;ITF Brann FG Melder 10.1;C2.027;-147270.000;3950.000
1;ITF Brann FG Melder 10.1;C2.026;-140805.000;3950.000
1;ITF Brann FG Melder 10.1;C2.028.1;-154861.903;7663.455
1;ITF Brann FG Melder 10.1;C2.030;-156622.480;13854.473
1;ITF Brann FG Melder 10.1;C2.029.1;-151310.000;18415.072
1;ITF Brann FG Melder 10.1;C2.029;-151310.000;17830.000
1;ITF Brann FG Melder 10.1;C2.012.2;-114521.526;21192.094
1;ITF Alarm Lydgiver 10.1;C2.2.11;-152515.000;12846.968
1;ITF Alarm Lydgiver 10.1;C2.2.10;-156620.000;12806.968
1;ITF Alarm Lydgiver 10.1;C2.2.01;-152270.000;15065.000
1;ITF Alarm Lydgiver 10.1;C2.2.02;-152450.000;10635.000
1;ITF Alarm Lydgiver 10.1;C2.2.06;-147787.754;35299.639
1;ITF Alarm Lydgiver 10.1;C2.2.05;-116645.000;31244.000
1;ITF Alarm Lydgiver 10.1;C2.2.04;-120875.000;13400.000
1;Alarm Betjening ITF;M07-12;-123135.000;15445.000
1;ITF Brann FG Melder 10.1;C2.041;-145922.696;25149.882
1;ITF Brann FG Melder 10.1;C5-044;-148385.000;38075.000
1;ITF Brann FG Melder 10.1;C5-031;-175262.936;35623.503
1;ITF Brann FG Melder 10.1;C2.042;-150178.000;26353.000
1;Utknapp ITF; ;-145353.278;25277.196
1;Alarm Betjening ITF; ;-144760.040;25264.370
1;Alarm Betjening ITF;M09-09;-142060.000;15578.990
1;ITF Brann FG Melder 10.1;C2.025;-132482.841;2905.000
1;ITF Brann FG Melder 10.1;C1.035.5;-117688.571;37570.000
1;ITF Brann FG Melder 10.1;C2.007;-122165.000;29920.000
1;ITF Brann FG Melder 10.1;C2.006.4;-147310.886;37688.837
1;ITF Brann FG Melder 10.1;C1.035.3;-117994.000;39607.858
1;ITF Brann FG Melder 10.1;C2.012;-117415.191;21043.711
1;ITF Brann FG Melder 10.1;C2.011;-115555.000;33035.000
1;ITF Brann FG Melder 10.1;C1.035.4;-116746.526;38982.094
1;ITF Brann FG Melder 10.1;C2.006.5;-146141.526;37057.094
1;ITF Brann FG Melder 10.1;C2.003;-155765.000;26765.000
1;ITF Brann FG Melder 10.1;C2.001;-153523.569;18849.872
1;ITF Brann FG Melder 10.1;C2.002;-153005.000;19920.000
1;ITF Brann FG Melder 10.1;C2.004;-163895.000;25665.000
1;ITF Brann FG Melder 10.1;C2.006;-147510.000;35082.343
1;ITF Brann FG Melder 10.1;C2.005.1;-145274.942;29651.603
1;ITF Brann FG Melder 10.1;C2.005;-145274.942;30171.457
1;ITF Brann FG Melder 10.1;C2.013;-127165.000;25585.000
1;ITF Brann FG Melder 10.1;C2.020.1;-127155.000;19215.000
1;ITF Brann FG Melder 10.1;C2.020;-127155.000;18755.000
1;ITF Brann FG Melder 10.1;C2.019;-124545.000;10265.000
1;ITF Brann FG Melder 10.1;C2.021;-114091.000;22654.344
1;ITF Brann FG Melder 10.1;C2.023.1;-116975.000;14602.035
1;ITF Brann FG Melder 10.1;C2.023;-116975.000;2920.000
1;ITF Brann FG Melder 10.1;C2.022;-117190.000;16255.000
1;ITF Brann FG Melder 10.1;C2.018;-132498.816;10250.000
1;ITF Brann FG Melder 10.1;C2.014.1;-138194.000;25425.000
1;ITF Brann FG Melder 10.1;C2.014;-138910.905;25725.366
1;ITF Brann FG Melder 10.1;C2.013.1;-127455.000;26015.000
1;ITF Brann FG Melder 10.1;C2.015;-147280.000;16135.000
1;ITF Brann FG Melder 10.1;C2.017.1;-138195.000;19295.000
